시발역,망양  ,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,,,,,,,,,,,,
종착역,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,망양  ,,,,,,,,,,,,
열차번호,K8652,K8654,K8502,K8504,K8656,K8506,K8508,K8510,K8512,K8514,K8516,K8518,K8520,K8658,K8662,K8660,K8524,K8664,K8526,K8528,K8530,K8532,K8534,K8536,K8538,K8540,K8542,K8544,K8546,K8666,K8548,K8550,K8552,K8668,K8554,K8670,K8556,K8558,K8560,K8562,K8564,K8566,K8568,K8570,K8572,K8574,K8576,K8578,K8580,K8582,K8584,K8586,K8672,,,,,,,,,,,,
송정  ,05:55:00,06:09:00,06:23:30,06:39:30,06:51:00,07:07:30,07:22:30,07:39:30,07:53:30,08:12:30,08:30:30,08:49:30,09:05:30,09:28:00,        ,09:47:00,10:05:30,        ,10:38:30,11:02:30,11:33:30,12:05:30,12:28:30,12:57:00,13:41:00,14:10:30,14:35:30,14:58:30,15:29:30,15:53:00,16:22:00,16:42:30,17:08:30,17:27:00,17:43:30,17:55:00,18:09:30,18:32:00,18:54:00,19:07:30,19:24:30,19:42:30,19:56:30,20:23:00,20:37:30,21:00:30,21:23:30,21:56:30,22:24:30,22:47:00,23:12:30,23:47:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신해운,05:58:30,06:12:30,06:27:00,06:43:00,06:54:30,07:11:00,07:26:00,07:43:00,07:57:00,08:16:00,08:34:00,08:53:00,09:13:30,09:31:30,        ,09:50:30,10:09:00,        ,10:42:00,11:06:00,11:37:00,12:09:00,12:32:00,13:00:30,13:44:30,14:14:00,14:39:00,15:02:00,15:33:00,15:56:30,16:25:30,16:50:30,17:12:00,17:30:30,17:47:00,17:58:30,18:13:00,18:40:00,18:57:30,19:11:00,19:28:00,19:46:00,20:00:00,20:26:30,20:41:00,21:04:00,21:27:00,22:00:00,22:28:00,22:50:30,23:16:00,23:51:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벡스코,06:03:00,06:17:00,06:31:30,06:47:30,06:59:00,07:15:30,07:30:30,07:47:30,08:01:30,08:20:30,08:38:30,08:57:30,09:18:00,09:36:00,        ,09:55:00,10:13:30,        ,10:46:30,11:10:30,11:41:30,12:13:30,12:36:30,13:05:00,13:49:00,14:18:30,14:43:30,15:06:30,15:37:30,16:01:00,16:30:00,16:55:00,17:16:30,17:35:00,17:51:30,18:03:00,18:17:30,18:44:30,19:02:00,19:15:30,19:32:30,19:50:30,20:04:30,20:31:00,20:45:30,21:08:30,21:31:30,22:04:30,22:33:00,22:55:00,23:20:30,23:55:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
센텀  ,06:05:30,06:19:30,06:34:00,06:50:00,07:01:30,07:18:00,07:33:00,07:50:00,08:04:00,08:23:00,08:41:00,09:00:00,09:20:30,09:38:30,        ,09:57:30,10:16:00,        ,10:49:00,11:13:00,11:44:00,12:16:00,12:39:00,13:07:30,13:51:30,14:21:00,14:46:00,15:09:00,15:40:00,16:03:30,16:32:30,16:57:30,17:19:00,17:37:30,17:54:00,18:05:30,18:20:00,18:47:00,19:04:30,19:18:00,19:35:00,19:53:00,20:07:00,20:33:30,20:48:00,21:11:00,21:34:00,22:07:00,22:35:30,22:57:30,23:23:00,23:58:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재송  ,06:07:30,06:21:30,06:36:00,06:52:00,07:03:30,07:20:00,07:35:00,07:52:00,08:06:00,08:25:00,08:43:00,09:02:00,09:22:30,09:40:30,        ,09:59:30,10:18:00,        ,10:51:00,11:15:00,11:46:00,12:18:00,12:41:00,13:09:30,13:53:30,14:23:00,14:48:00,15:11:00,15:42:00,16:05:30,16:34:30,16:59:30,17:21:00,17:39:30,17:56:00,18:07:30,18:22:00,18:49:00,19:06:30,19:20:00,19:37:00,19:55:00,20:09:00,20:35:30,20:50:00,21:13:00,21:36:00,22:09:00,22:38:00,22:59:30,23:25:00,00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
