시발역,부전  ,망양  ,망양  ,부전  ,부전  ,부전  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,,,,
종착역,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,,,,
열차번호,K8501,K8651,K8653,K8503,K8505,K8507,K8657,K8655,K8509,K8511,K8513,K8515,K8517,K8519,K8521,K8523,K8525,K8527,K8529,K8531,K8533,K8535,K8537,K8539,K8541,K8543,K8545,K8547,K8549,K8551,K8659,K8553,K8555,K8661,K8557,K8559,K8561,K8563,K8565,K8567,K8569,K8571,K8573,K8575,K8577,K8579,K8581,K8663,,,,
서생  ,6:28:30,        ,        ,6:56:30,7:23:30,7:57:00,8:25:30,        ,8:50:30,9:08:30,9:29:30,9:51:30,10:18:30,10:42:00,11:08:30,11:36:30,12:01:30,12:23:30,12:44:30,13:13:30,13:35:30,14:04:00,14:33:30,14:56:30,15:22:00,15:46:30,16:08:30,16:36:30,17:03:00,17:25:30,17:39:30,17:57:30,18:07:30,18:30:30,18:51:30,19:12:30,19:35:30,20:11:00,20:30:00,20:49:30,21:16:30,21:51:30,22:13:30,22:39:30,23:07:30,23:29:30,23:49:30,00:10:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남창  ,6:36:00,        ,        ,7:04:00,7:31:00,8:04:30,8:33:00,        ,8:58:00,9:16:00,9:37:00,9:59:00,10:26:00,10:49:30,11:16:00,11:44:00,12:09:00,12:31:00,12:52:00,13:21:00,13:43:00,14:11:30,14:41:00,15:04:00,15:29:30,15:54:00,16:16:00,16:44:00,17:10:30,17:33:00,17:47:00,18:05:00,18:15:00,18:38:00,18:59:00,19:20:00,19:43:00,20:18:30,20:37:30,20:57:00,21:24:00,21:59:00,22:21:00,22:47:00,23:15:00,23:37:00,23:57:00,00:18:00,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망양  ,6:40:30,6:00:00,6:20:00,7:08:30,7:35:30,8:09:00,8:37:30,7:00:00,9:02:30,9:20:30,9:41:30,10:03:30,10:30:30,10:54:00,11:20:30,11:48:30,12:13:30,12:35:30,12:56:30,13:25:30,13:47:30,14:16:00,14:45:30,15:08:30,15:34:00,15:58:30,16:20:30,16:48:30,17:15:00,17:37:30,17:51:30,18:09:30,18:19:30,18:42:30,19:03:30,19:24:30,19:47:30,20:23:00,20:42:00,21:01:30,21:28:30,22:03:30,22:25:30,22:51:30,23:19:30,23:41:30,0:01:30,00:22:30,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕하  ,6:45:00,6:04:00,6:24:00,7:13:00,7:40:00,8:13:30,        ,8:04:00,9:07:00,9:25:00,9:46:00,10:08:00,10:35:00,10:58:30,11:25:00,11:53:00,12:18:00,12:40:00,13:01:00,13:30:00,13:52:00,14:20:30,14:50:00,15:13:00,15:38:30,16:03:00,16:25:00,16:53:00,17:19:30,17:42:00,        ,18:14:00,18:24:00,        ,19:08:00,19:29:00,19:57:00,20:27:30,20:46:30,21:06:00,21:33:00,22:08:00,22:30:00,22:56:00,23:24:00,23:46:00,0:06:00,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개운포,6:48:00,6:07:00,6:27:00,7:16:00,7:43:00,8:16:30,        ,8:07:00,9:10:00,9:28:00,9:49:00,10:11:00,10:38:00,11:01:30,11:28:00,11:56:00,12:21:00,12:43:00,13:04:00,13:33:00,13:55:00,14:23:30,14:53:00,15:16:00,15:41:30,16:06:00,16:28:00,16:56:00,17:22:30,17:45:00,        ,18:17:00,18:27:00,        ,19:11:00,19:32:00,20:00:00,20:30:30,20:49:30,21:09:00,21:36:00,22:11:00,22:33:00,22:59:00,23:27:00,23:49:00,0:09:00,        ,        ,        ,        ,        
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태화강,6:53:00,6:12:00,6:32:00,7:21:00,7:48:00,8:21:30,        ,8:12:00,9:15:00,9:33:00,9:54:00,10:16:00,10:43:00,11:06:30,11:33:00,12:01:00,12:26:00,12:48:00,13:09:00,13:38:00,14:00:00,14:28:30,14:58:00,15:21:00,15:46:30,16:11:00,16:33:00,17:01:00,17:27:30,17:50:00,        ,18:22:00,18:32:00,        ,19:16:00,19:37:00,20:05:00,20:35:30,20:54:30,21:14:00,21:41:00,22:16:00,22:38:00,23:04:00,23:32:00,23:54:00,0:14:00,        ,        ,        ,        ,        
,        ,        ,        ,        ,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,        ,        ,,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,,,,,
연계열번,K8510,K8506,K8508,K8512,K8514,K8518,G8657,K8516,K8520,K8522,K8524,K8526,K8528,K8530,K8532,K8534,K8536,K8538,K8540,K8542,K8544,K8546,K8548,K8550,K8552,K8554,K8556,K8558,K8560,K8562,W8659,K8564,K8566,G8661,K8568,K8570,K8572,K8574,K8576,K8578,K8580,K8582,K8584,W8575,W8577,K8582,K8584,G8663,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
