시발역,망양  ,부전  ,망양  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,부전  ,,,,,,,,,,,,,
종착역,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,태화강,망양  ,태화강,태화강,태화강,태화강,망양  ,,,,,,,,,,,,,
열차번호,K8651,K8501,K8653,K8503,K8505,K8507,K8509,K8655,K8511,K8513,K8515,K8517,K8519,K8521,K8523,K8525,K8657,K8527,K8529,K8531,K8659,K8533,K8535,K8537,K8539,K8541,K8543,K8545,K8547,K8549,K8551,K8553,K8555,K8557,K8559,K8561,K8563,K8565,K8567,K8569,K8571,K8573,K8575,K8577,K8579,K8581,K8661,K8583,K8585,K8587,K8589,K8663,,,,,,,,,,,,,
오시리,        ,6:02:00,        ,6:31:30,6:44:00,7:02:00,7:17:00,7:36:00,7:47:00,8:08:30,8:28:30,8:40:00,8:55:00,9:12:00,9:27:00,9:42:00,10:00:30,10:20:30,10:41:00,11:01:00,11:23:00,11:50:00,12:18:00,12:52:00,13:13:00,13:38:00,14:26:30,14:55:00,15:24:00,15:50:00,16:20:00,16:41:30,17:00:00,17:23:00,17:42:00,18:04:30,18:22:00,18:38:00,18:59:00,19:20:00,19:44:00,20:08:30,20:29:00,20:44:00,21:01:00,21:21:30,21:40:00,22:02:00,22:32:00,23:04:00,23:30:00,23:56:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기장  ,        ,6:07:30,        ,6:37:00,6:49:30,7:07:30,7:22:30,7:41:30,7:52:30,8:14:30,8:34:00,8:45:30,9:00:30,9:17:30,9:32:30,9:47:30,10:06:00,10:26:00,10:46:30,11:06:30,11:28:30,11:55:30,12:23:30,12:57:30,13:18:30,13:43:30,14:32:00,15:00:30,15:29:30,15:55:30,16:25:30,16:47:00,17:05:30,17:28:30,17:47:30,18:10:00,18:27:30,18:43:30,19:04:30,19:25:30,19:49:30,20:14:00,20:34:30,20:49:30,21:06:30,21:27:00,21:45:30,22:07:30,22:37:30,23:09:30,23:35:30,0:01:30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
일광  ,        ,6:11:00,        ,6:40:30,6:53:00,7:11:00,7:26:00,7:45:00,7:56:00,8:18:30,8:37:30,8:49:00,9:04:00,9:21:00,9:36:00,9:51:00,10:09:30,10:29:30,10:50:00,11:10:00,11:32:00,11:59:00,12:27:00,13:01:00,13:22:00,13:47:00,14:35:30,15:04:00,15:33:00,15:59:00,16:29:00,16:50:30,17:09:00,17:32:00,17:51:00,18:13:30,18:31:00,18:47:00,19:08:00,19:29:00,19:53:00,20:17:30,20:38:00,20:53:00,21:10:00,21:30:30,21:49:00,22:11:00,22:41:00,23:13:00,23:39:00,0:05:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좌천  ,        ,6:16:00,        ,6:45:30,6:58:00,7:16:00,7:31:00,7:50:00,8:01:00,8:24:00,8:42:30,8:54:00,9:09:00,9:26:00,9:41:00,9:56:00,10:14:30,10:34:30,10:55:00,11:15:00,11:37:00,12:04:00,12:36:30,13:06:00,13:27:00,13:56:30,14:40:30,15:13:30,15:38:00,16:04:00,16:34:00,16:55:30,17:14:00,17:37:00,17:56:00,18:18:30,18:36:00,18:52:00,19:13:00,19:34:00,19:58:00,20:22:30,20:43:00,20:58:00,21:15:00,21:35:30,21:54:00,22:16:00,22:46:00,23:18:00,23:44:00,0:10:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월내  ,        ,6:20:00,        ,6:49:30,7:02:00,7:20:00,7:35:00,7:54:00,8:05:00,8:28:30,8:46:30,8:58:00,9:13:00,9:30:00,9:45:00,10:00:00,10:18:30,10:38:30,10:59:00,11:19:00,11:41:00,12:08:00,12:40:30,13:10:00,13:31:00,14:00:30,14:44:30,15:17:30,15:42:00,16:08:00,16:38:00,16:59:30,17:18:00,17:41:00,18:00:00,18:22:30,18:40:00,18:56:00,19:17:00,19:38:00,20:02:00,20:26:30,20:47:00,21:02:00,21:19:00,21:39:30,21:58:00,22:20:00,22:50:00,23:22:00,23:48:00,0:14:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
